right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1054.6752,1055.1731,,,1055.4253,1056.0571,left,,,,,,,,0.55,0.6213,,,,,,,1055.1732,1055.4253,1056.0571,1057.1568,,,,,,,,0,91,91,138,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1057.1585,1057.6568,,,1057.9091,1058.6265,left,,,,,,,,0.1,0.7097,,,,,,,1057.6569,1057.909,1058.6267,1059.7245,,,,,,,,0,92,92,4,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1059.7258,1060.224,,,1060.4746,1061.2737,left,,,,,,,,0.6,0.783,,,,,,,1060.2241,1060.4746,1061.2739,1062.373,,,,,,,,0,93,93,153,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1062.3748,1062.8735,,,1063.1247,1063.6738,left,,,,,,,,0.45,0.5354,,,,,,,1062.8736,1063.1246,1063.674,1064.7733,,,,,,,,0,94,94,82,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1064.7746,1065.273,,,1065.5249,1066.1407,left,,,,,,,,0.55,0.5998,,,,,,,1065.273,1065.5247,1066.1408,1067.2397,,,,,,,,0,95,95,148,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1067.2415,1067.7397,,,1067.9914,1068.6566,right,,,,,,,,0.6,0.6504,,,,,,,1067.7399,1067.9913,1068.6568,1069.7562,,,,,,,,0,96,96,156,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1069.7579,1070.2558,,,1070.5081,1071.0574,left,,,,,,,,0.45,0.5385,,,,,,,1070.2559,1070.508,1071.0576,1072.1568,,,,,,,,0,97,97,70,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1072.1582,1072.6569,,,1072.9074,1073.4397,left,,,,,,,,0.5,0.5187,,,,,,,1072.6569,1072.9073,1073.4398,1074.5398,,,,,,,,0,98,98,98,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1074.5413,1075.0394,,,1075.2922,1075.5573,right,,,,,,,,0.9,0.2516,,,,,,,1075.0396,1075.292,1075.5576,1076.6564,,,,,,,,0,99,99,189,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1076.6583,1077.157,,,1077.4085,1077.8073,left,,,,,,,,0.5,0.3831,,,,,,,1077.1571,1077.4084,1077.8074,1078.9068,,,,,,,,0,100,100,116,1
