right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,543.8128,544.3126,,,544.5686,545.1676,right,0.5815,,,,,,,,,0.5,,,,,,544.3127,544.5686,545.1676,546.2625,0,168,168,100,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,546.2636,546.7628,,,547.0183,547.5462,right,0.5079,,,,,,,,,0.45,,,,,,546.7629,547.0182,547.5464,548.6457,0,169,169,75,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,548.6467,549.1452,,,549.3955,549.6631,left,0.2395,,,,,,,,,0.1,,,,,,549.1452,549.3954,549.6633,550.7625,0,170,170,26,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,550.7635,551.2629,,,551.5132,551.8458,right,0.3169,,,,,,,,,0.9,,,,,,551.2629,551.5131,551.8459,552.9455,0,171,171,195,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,552.9461,553.4453,,,553.6961,554.0617,right,0.3492,,,,,,,,,0.9,,,,,,553.4453,553.6961,554.0617,555.1615,0,172,172,184,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,555.1618,555.6619,,,555.9127,556.429,right,0.4986,,,,,,,,,0.5,,,,,,555.662,555.9127,556.4291,557.5288,0,173,173,117,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,557.5295,558.0288,,,558.2795,558.7954,right,0.5045,,,,,,,,,0.55,,,,,,558.0289,558.2795,558.7955,559.8952,0,174,174,136,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,559.896,560.3954,,,560.6457,561.1947,right,0.5402,,,,,,,,,0.45,,,,,,560.3954,560.6457,561.1948,562.2947,0,175,175,69,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,562.2949,562.7946,,,563.0449,563.7285,right,0.6673,,,,,,,,,0.45,,,,,,562.7947,563.0449,563.7285,564.8285,0,176,176,71,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,564.8292,565.3281,,,565.5781,566.0614,left,0.4689,,,,,,,,,0.1,,,,,,565.3281,565.5781,566.0614,567.1613,0,177,177,22,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,567.1616,567.6613,,,567.9114,568.4618,left,0.5371,,,,,,,,,0.1,,,,,,567.6613,567.9114,568.462,569.5612,0,178,178,18,1,,,,,,,
