right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,960.4399,960.9369,,,961.1884,961.8764,right,,,,,,,,0.6,,,,,,960.9371,961.1882,0.6667,,961.8767,962.9592,,,,,,,,0,100,100,167,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,962.962,963.4635,,,963.7122,964.3355,right,,,,,,,,0.5,,,,,,963.4638,963.712,0.6019,,964.3357,965.4187,,,,,,,,0,101,101,113,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,965.4212,965.9216,,,966.164,966.7844,right,,,,,,,,0.55,,,,,,965.9217,966.1639,0.5994,,966.7847,967.8732,,,,,,,,0,102,102,120,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,967.8767,968.3749,,,968.6166,969.499,right,,,,,,,,0.55,,,,,,968.3751,968.6164,0.861,,969.4992,970.5792,,,,,,,,0,103,103,148,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,970.5816,971.0783,,,971.338,971.9511,left,,,,,,,,0.1,,,,,,971.0786,971.3377,0.5891,,971.9513,973.0571,,,,,,,,0,104,104,5,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,973.0591,973.5656,,,973.8183,974.349,left,,,,,,,,0.4,,,,,,973.5657,973.8181,0.5071,,974.3493,975.4485,,,,,,,,0,105,105,51,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,975.4513,975.9558,,,976.2112,976.9265,right,,,,,,,,0.5,,,,,,975.9561,976.211,0.6924,,976.9267,978.0257,,,,,,,,0,106,106,96,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,978.0289,978.5368,,,978.7766,979.6692,left,,,,,,,,0.45,,,,,,978.537,978.7765,0.8718,,979.6694,980.7515,,,,,,,,0,107,107,86,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,980.7543,981.2526,,,981.4991,982.4129,right,,,,,,,,0.55,,,,,,981.2527,981.4989,0.8907,,982.4131,983.523,,,,,,,,0,108,108,146,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,983.5256,984.0292,,,984.2697,985.102,left,,,,,,,,0.45,,,,,,984.0295,984.2694,0.8108,,985.1023,986.2,,,,,,,,0,109,109,81,1
