right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,233.695,234.192,,,234.442,234.559,left,,,,,,,,0.1,0.099,,,,,,,234.193,234.442,234.559,235.659,0,29,29,4,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,235.66,236.158,,,236.409,236.775,left,,,,,,,,0.4,0.353,,,,,,,236.158,236.409,236.775,237.875,0,30,30,33,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,237.875,238.375,,,238.626,239.091,right,,,,,,,,0.4,0.448,,,,,,,238.375,238.626,239.091,240.191,0,31,31,36,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,240.192,240.692,,,240.942,241.157,left,,,,,,,,0.4,0.199,,,,,,,240.692,240.942,241.157,242.258,0,32,32,40,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,242.259,242.757,,,243.008,243.124,left,,,,,,,,0.1,0.1,,,,,,,242.757,243.008,243.125,244.224,0,33,33,21,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,244.225,244.724,,,244.975,245.141,left,,,,,,,,0.5,0.152,,,,,,,244.724,244.974,245.141,246.241,0,34,34,112,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,246.242,246.74,,,246.991,247.358,right,,,,,,,,0.9,0.352,,,,,,,246.74,246.991,247.358,248.457,0,35,35,194,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,248.458,248.957,,,249.207,249.389,right,,,,,,,,0.9,0.167,,,,,,,248.957,249.207,249.389,250.49,0,36,36,195,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,250.49,250.989,,,251.241,251.489,right,,,,,,,,0.55,0.235,,,,,,,250.989,251.241,251.49,252.59,0,37,37,144,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,252.591,253.089,,,253.34,253.522,left,,,,,,,,0.6,0.166,,,,,,,253.089,253.34,253.522,254.623,0,38,38,174,1,,,,,,,
